Counterparty,Internal/External,Trade Status,Portfolio,User Name,User Group,User Desk,Clearing Eligibility,Typology,Source System,Entity,Trade Insert,Flow Currency,Last Contract Event Action,Payment Netting,Contract Id,Party Name,partyName2
None,external,live,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,AUD,INSERT,true,7330553,RABOBANK,RABOBANK
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,AUD,INSERT,true,7330552,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330551,RABOBANK,RABOBANK
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330550,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330549,RABOBANK,RABOBANK
None,external,dead,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330546,RABOBANK,RABOBANK
None,internal,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,None,INSERT,true,7330545,RABOBANK,RABOBANK
None,external,live,UTFX_WASH,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330544,RABOBANK,RABOBANK
None,internal,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7330543,RABOBANK,RABOBANK
None,external,dead,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330542,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330541,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330540,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330539,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330538,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330537,RABOBANK,RABOBANK
